LAT,LONG,Depth,Year
28.50866667,-93.05991667,43.5,2011
28.063,-91.79158333,102,2011
28.38783333,-92.82041667,54.1,2011
28.22616667,-92.75541667,61.8,2011
28.1835,-91.93325,77.2,2011
28.03583333,-92.79975,93.8,2011
28.46658333,-91.99575,54.3,2011
28.66041667,-91.25033333,21.6,2011
28.47116667,-92.59566667,50.8,2011
28.48108333,-91.23433333,39.7,2011
28.7045,-92.72325,34,2011
28.399,-91.52491667,56.3,2011
28.96066667,-92.77791667,24.7,2011
28.25725,-91.39216667,73.5,2011
29.03025,-92.59158333,24,2011
28.18066667,-90.83475,90.5,2011
29.03191667,-92.15925,19.8,2011
28.5645,-90.67083333,25.4,2011
28.96208333,-92.07908333,22.1,2011
28.74891667,-90.55641667,18.7,2011
28.95808333,-92.11766667,23.4,2011
28.78541667,-89.82225,59.3,2011
28.8,-92.16025,31.1,2011
28.85158333,-89.68675,63.5,2011
28.89466667,-89.56475,64.2,2011
29.71817,-88.12633,36.6,2011
29.49183,-87.57508,64,2011
29.27025,-88.15208,98.8,2011
29.25325,-88.2995,89.6,2011
29.44633,-88.27342,51.2,2011
29.50117,-88.594,38.4,2011
29.57767,-88.8585,12.8,2011
29.69708,-88.668,19.4,2011
29.68008,-88.368,38.4,2011
29.64133,-88.23692,38.4,2011
29.88775,-87.88858,31.1,2011
29.9235,-88.15217,29.3,2011
29.89558,-88.44267,31.1,2011
30.05975,-88.47008,19.2,2011
30.18642,-88.28217,13,2011
30.09942,-88.64142,16.5,2011
30.11375,-88.64917,15,2011
30.1825,-88.65142,13,2011
28.74833,-84.05875,32.9,2011
30.09692,-86.72683,51.2,2011
30.2645,-86.18217,25.6,2011
28.69442,-84.01292,29.3,2011
30.20625,-85.95875,20.1,2011
28.65483,-83.94333,29.3,2011
30.09642,-85.99892,27.4,2011
28.53217,-84.0365,34.7,2011
30.05825,-86.01742,27.4,2011
28.476,-84.096,36.6,2011
29.72925,-85.44308,12.6,2011
29.7155,-85.44492,12.6,2011
28.43875,-84.05067,36.6,2011
29.49708,-85.60517,19.6,2011
28.38633,-83.83683,31.1,2011
29.53983,-85.19883,11.7,2011
29.43242,-85.26975,25.6,2011
28.34867,-83.97908,36.6,2011
29.21992,-85.15325,31.1,2011
29.00767,-85.03283,4.2,2011
28.29608,-84.01475,36.6,2011
28.98017,-84.72267,38.4,2011
28.15542,-84.055,42.1,2011
28.88842,-84.64167,38.4,2011
28.22567,-83.975,40.2,2011
28.8965,-84.49133,34.7,2011
28.216,-83.87875,38.4,2011
28.88817,-84.26383,29.3,2011
28.864,-84.24275,29.3,2011
28.05517,-83.7925,36.6,2011
28.69492,-84.14042,34.7,2011
28.03658,-83.63492,32.9,2011
28.02483,-83.5345,29.3,2011
27.897,-83.41783,27.4,2011
27.68775,-83.38108,29.3,2011
27.63633,-83.36633,31.1,2011
27.54175,-83.28175,31.1,2011
27.50092,-83.272,31.1,2011
27.39092,-83.14892,27.4,2011
26.90058,-83.2615,43.9,2011
26.86858,-83.19933,42.1,2011
26.78558,-83.27775,45.7,2011
26.69975,-83.71817,67.7,2011
26.57158,-83.83333,82.3,2011
26.53867,-83.82292,82.3,2011
26.51175,-83.61358,64,2011
27.1745,-83.03225,27.4,2011
26.3455,-83.57075,62.2,2011
26.27358,-83.81375,96.9,2011
27.31067,-82.97767,21.9,2011
27.36958,-82.96092,20.1,2011
26.044,-83.77275,91.4,2011
27.87717,-82.99133,10.6,2011
26.01417,-83.6445,65.8,2011
27.64208,-83.15175,23.8,2011
27.52958,-83.57908,42.1,2011
26.04083,-83.5905,67.7,2011
27.34608,-83.69558,47.5,2011
27.42492,-83.84475,54.9,2011
26.08383,-82.01933,11.9,2011
27.25433,-83.98183,71.3,2011
26.39283,-82.33075,14.6,2011
27.592,-83.9275,51.2,2011
26.49658,-82.60592,21.9,2011
27.72617,-84.17283,54.9,2011
26.44883,-82.93725,36.6,2011
27.79333,-84.3695,78.6,2011
26.59075,-83.02125,36.6,2011
28.06367,-84.45083,69.5,2011
26.837,-83.00992,34.7,2011
28.4155,-84.43958,53,2011
26.75417,-82.78525,25.6,2011
28.37075,-84.3445,47.5,2011
26.68175,-82.6595,21.9,2011
28.26858,-84.31175,51.2,2011
26.67825,-82.54617,20.1,2011
28.53458,-83.66767,25.6,2011
26.958,-82.51325,13.5,2011
28.832,-83.78492,23.8,2011
27.07233,-82.62367,15.2,2011
29.02833,-83.47175,14.4,2011
27.00883,-82.86492,25.6,2011
29.18517,-83.72717,18.8,2011
28.94658,-84.79442,42.1,2011
28.79175,-84.81033,47.5,2011
29.99817,-86.23717,42.1,2011
29.93633,-86.14108,36.6,2011
29.886,-86.10225,38.4,2011
29.81683,-86.07575,40.2,2011
29.67533,-86.04067,42.1,2011
29.44808,-85.81408,36.6,2011
29.2095,-85.4735,49.4,2011
29.0625,-85.35525,45.7,2011
28.93008,-85.23633,64,2011
28.87433,-85.24958,82.3,2011
29.00808,-85.53492,84.1,2011
29.51025,-86.01408,58.5,2011
29.5755,-86.03617,58.5,2011
29.61575,-86.23775,69.5,2011
28.91317,-90.049,33.8,2011
29.09583,-89.91875,25.8,2011
29.08275,-89.59883,19.2,2011
29.08458,-89.85333,28,2011
28.98433,-89.88458,35.7,2011
28.89508,-90.11475,30.7,2011
28.57042,-90.19858,40.2,2011
28.45958,-90.21558,41.2,2011
28.48742,-90.29992,41.2,2011
28.42442,-90.44667,50.5,2011
28.58033,-90.45658,32.9,2011
28.93117,-91.4615,12.8,2011
28.97467,-91.73633,20.1,2011
28.935,-91.90075,24.7,2011
28.817,-91.80392,30.2,2011
28.74158,-91.65208,30.2,2011
28.72717,-91.4265,25.1,2011
28.70842,-91.20142,19.9,2011
28.56575,-91.11658,31.5,2011
28.60317,-90.971,23.8,2011
28.74242,-91.01867,17.4,2011
28.79367,-90.88158,20.1,2011
28.83583,-90.562,22.5,2011
30.167,-87.51425,24,2011
30.33158,-87.06117,27.6,2011
30.08708,-87.2285,29.3,2011
29.98183,-87.27092,28.9,2011
30.00208,-87.233,31.1,2011
30.05492,-87.51567,29.8,2011
26.29116667,-96.46016667,68.8,2012
26.13183333,-96.73333333,44.3,2012
26.09641667,-96.74858333,43.9,2012
26.068,-96.89091667,35.1,2012
26.17266667,-96.9355,31.6,2012
26.3025,-96.78891667,41.9,2012
26.41033333,-96.76066667,43.7,2012
26.41608333,-96.80266667,42.4,2012
26.48716667,-96.82816667,42.8,2012
27.9625,-96.69308333,20.8,2012
26.53516667,-96.63975,65.3,2012
27.955,-96.65433333,22.7,2012
26.62475,-96.69941667,66.4,2012
27.83291667,-96.44958333,41.5,2012
26.82733333,-96.59541667,100.4,2012
27.66333333,-96.12308333,93.8,2012
26.77841667,-96.60958333,95.6,2012
27.69466667,-95.98041667,92.4,2012
26.90641667,-96.81008333,63.1,2012
27.90766667,-96.14958333,50.5,2012
26.87983333,-97.3075,16.8,2012
28.1405,-96.47375,19.9,2012
27.29875,-97.2495,17.6,2012
28.20991667,-96.41141667,19.2,2012
27.24141667,-96.97191667,38,2012
28.17483333,-96.41416667,21.2,2012
27.14,-96.69425,75.5,2012
28.30083333,-96.34916667,15.7,2012
27.10075,-96.68191667,79,2012
28.26783333,-96.35583333,18.7,2012
27.43991667,-97.00458333,29.3,2012
27.82833333,-95.841,60.4,2012
27.5245,-96.84066667,35.8,2012
28.08641667,-95.92758333,37.7,2012
27.6615,-96.39816667,63.8,2012
28.04616667,-95.92375,41.3,2012
27.62733333,-96.37883333,71.5,2012
28.1325,-95.74491667,37.7,2012
27.75308333,-96.71858333,30,2012
28.21066667,-95.91233333,28.5,2012
27.72858333,-96.68516667,34.2,2012
28.44666667,-96.10233333,14.8,2012
28.54325,-95.858,14.4,2012
28.15575,-95.6335,39.7,2012
28.04041667,-95.51908333,50.8,2012
27.93258333,-95.27691667,80.3,2012
27.889,-95.26216667,92,2012
28.02908333,-95.39766667,53.8,2012
27.98666667,-95.39116667,57.4,2012
28.23216667,-95.38325,39.7,2012
28.40275,-95.30891667,32.7,2012
