objectid_1,objectid,acres,month_map,area_,perimeter,date_map,strata,fiscaly,strata_d,areaid,shape_leng,i1_i2,st_areashape,st_perimetershape
23033,23033,0.18070456,May,731.2898057,131.0179556,2011,D,2011,Subtidal Soft Non-vegetated w/o Shell,P015,131.017949,I1,731.2883519,131.017949
23034,23034,0.30033253,May,1215.408048,183.1973127,2011,G,2011,Subtidal Firm Non-vegetated Shell,P015,183.1972721,I1,1215.407504,183.1972721
23035,23035,26.96945748,May,109141.9491,2076.090315,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,2076.090446,I1,109141.9588,2076.090446
23036,23036,0.65727136,May,2659.886224,1307.915358,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,1307.915442,I1,2659.893478,1307.915441
23037,23037,0.04208665,May,170.307509,51.05324141,2011,K,2011,Subtidal Hard Non-vegetated Shell,P015,51.06341498,I1,170.3193516,51.06341499
23038,23038,0.09365116,May,378.9933356,91.07410464,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,91.0740859,I1,378.9943182,91.0740859
23039,23039,0.16033551,May,648.8575498,120.4296957,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,120.4297306,I1,648.8574152,120.4297306
23040,23040,0.20930639,May,847.038075,130.6152351,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,130.6149688,I1,847.0363151,130.6149688
23041,23041,12.24683052,May,49561.3675,4750.61383,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,4750.614155,I1,49561.36299,4750.614155
23042,23042,1.18544406,May,4797.345196,2278.232139,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,2278.232112,I1,4797.341135,2278.232112
23043,23043,0.23132487,May,936.1417317,140.939352,2011,F,2011,Subtidal Firm Vegetated w/o Shell,P015,140.93932,I1,936.1422885,140.93932
23044,23044,1.53440213,May,6209.533041,907.4502932,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,907.4504933,I1,6209.529955,907.4504933
23045,23045,1.89269122,May,7659.476633,2930.912295,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,2930.912212,I1,7659.480272,2930.912212
23046,23046,16.31537133,May,66026.2357,2201.038025,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,2201.038023,I1,66026.22936,2201.038023
23047,23047,381.5502332,May,1544085.185,8682.464209,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,8682.46428,I1,1544085.188,8682.46428
23048,23048,1283.792865,May,5195346.253,26153.23618,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,P015,26153.23642,I1,5195346.237,26153.23642
23049,23049,4.31218504,May,17450.8671,1963.330797,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,P015,1963.330517,I1,17450.86354,1963.330517
23050,23050,0.20869687,May,844.5672324,142.7484468,2011,K,2011,Subtidal Hard Non-vegetated Shell,P015,142.7485847,I1,844.5696699,142.7485847
23051,23051,0.43408072,JUNE,1756.669378,254.2106189,2011,X,2011,Intertidal Hard Non-vegetated w/o Shell,S014,254.2106189,I1,1756.669378,254.2106189
23052,23052,1.10621179,JUNE,4476.698204,863.5888745,2011,L,2011,Subtidal Hard Non-vegetated w/o Shell,S014,863.5888745,I1,4476.698204,863.5888745
23053,23053,0.2946305,JUNE,1192.332136,167.103292,2011,T,2011,Intertidal Firm Non-vegetated w/o Shell,S014,167.103292,I1,1192.332136,167.103292
23054,23054,1.46578007,JUNE,5931.825218,472.2497852,2011,X,2011,Intertidal Hard Non-vegetated w/o Shell,S014,472.2497852,I1,5931.825218,472.2497852
23055,23055,0.98427157,JUNE,3983.221674,316.0674878,2011,T,2011,Intertidal Firm Non-vegetated w/o Shell,S014,316.0674878,I1,3983.221674,316.0674878
23056,23056,0.38744938,JUNE,1567.958298,205.54407,2011,P,2011,Intertidal Soft Non-vegetated w/o Shell,S014,205.5440701,I1,1567.958298,205.54407
23057,23057,0.1604519,JUNE,649.3284012,159.8058355,2011,U,2011,Intertidal Hard Vegetated Shell,S014,159.8058355,I1,649.3284012,159.8058355
23058,23058,0.03885223,JUNE,157.2300619,49.80841154,2011,X,2011,Intertidal Hard Non-vegetated w/o Shell,S014,49.80841154,I1,157.2300619,49.80841154
23059,23059,0.30894965,JUNE,1250.279911,242.8783082,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,242.8783082,I1,1250.279911,242.8783082
23060,23060,0.05033232,JUNE,203.6885046,67.58680348,2011,U,2011,Intertidal Hard Vegetated Shell,S014,67.58680348,I1,203.6885046,67.58680348
23061,23061,0.27142424,JUNE,1098.419363,307.3024169,2011,S,2011,Intertidal Firm Non-vegetated Shell,S014,307.3024169,I1,1098.419363,307.3024169
23062,23062,0.11876415,JUNE,480.623387,92.18326164,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,92.18326164,I1,480.623387,92.18326164
23063,23063,0.31980518,JUNE,1294.210854,855.6846759,2011,Q,2011,Intertidal Firm Vegetated Shell,S014,855.6846759,I1,1294.210854,855.6846759
23064,23064,0.02285407,JUNE,92.48742939,66.78642118,2011,R,2011,Intertidal Firm Vegetated w/o Shell,S014,66.78642118,I1,92.48751865,66.78642119
23065,23065,0.85154696,JUNE,3446.102096,759.1862137,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,759.1862137,I1,3446.102096,759.1862137
23066,23066,0.04262342,JUNE,172.4918799,57.57116902,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,57.57116903,I1,172.491563,57.57116903
23067,23067,0.15318516,JUNE,619.9208463,125.8770099,2011,P,2011,Intertidal Soft Non-vegetated w/o Shell,S014,125.8770099,I1,619.9208463,125.8770099
23068,23068,0.13710877,JUNE,554.8617646,100.0313374,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,100.0313374,I1,554.8617646,100.0313374
23069,23069,1.47059782,JUNE,5951.32205,443.3398115,2011,X,2011,Intertidal Hard Non-vegetated w/o Shell,S014,443.3398115,I1,5951.32205,443.3398115
23070,23070,0.07190184,JUNE,290.9776136,72.18732168,2011,W,2011,Intertidal Hard Non-vegetated Shell,S014,72.18732168,I1,290.9776136,72.18732169
23071,23071,0.03330722,JUNE,134.7900441,95.40483625,2011,R,2011,Intertidal Firm Vegetated w/o Shell,S014,95.40483626,I1,134.7901093,95.40483626
23072,23072,0.39819398,JUNE,1611.440348,1063.840278,2011,U,2011,Intertidal Hard Vegetated Shell,S014,1063.840278,I1,1611.440348,1063.840278
23073,23073,0.67019109,JUNE,2712.177982,390.5126217,2011,S,2011,Intertidal Firm Non-vegetated Shell,S014,390.5126217,I1,2712.177982,390.5126217
23074,23074,0.31916704,JUNE,1291.628375,190.3075166,2011,T,2011,Intertidal Firm Non-vegetated w/o Shell,S014,190.3075166,I1,1291.628375,190.3075166
23075,23075,0.07899793,JUNE,319.6945898,216.2630294,2011,R,2011,Intertidal Firm Vegetated w/o Shell,S014,216.2630294,I1,319.6945898,216.2630294
23076,23076,0.17101054,JUNE,692.057686,460.8436309,2011,Q,2011,Intertidal Firm Vegetated Shell,S014,460.8436309,I1,692.0578709,460.8436309
23077,23077,3.42811891,JUNE,13873.16054,1410.094115,2011,H,2011,Subtidal Firm Non-vegetated w/o Shell,S014,1410.094115,I1,13873.16054,1410.094115
